CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
16093;CAIXA SIFONADA QUADRADA BRANCA 150X150X50MM;22,41;34,99;56,14;
14132;CAIXA TERMICA 18LT MOR PAZ;47,3;75,9;60,47;
14131;CAIXA TERMICA 18LT MOR VIDA;47,3;75,9;60,47;
9217;CAIXA TERMICA 26LT MOR AZUL;61,1;99,9;63,5;
15353;CAIXA TERMICA 26LT MOR AZUL C PRETO;60,12;99,99;66,32;
14127;CAIXA TERMICA 26LT MOR CINZA C PRETO;60,12;99,99;66,32;
15352;CAIXA TERMICA 26LT MOR PRETA;60,12;99,99;66,32;
15350;CAIXA TERMICA 26LT MOR VERM. PRETO;60,12;99,99;66,32;
6516;CAIXA TERMICA 32LT OBBA;71,18;115;0;
12122;CAIXA TERMICA 34LT ANTARES;66,84;107,9;61,43;
7371;CAIXA TERMICA 34LT MOR AZUL;75;119,99;59,99;
15349;CAIXA TERMICA 34LT MOR AZUL   PRETA;72,67;119,99;65,12;
14129;CAIXA TERMICA 34LT MOR CINZA;72,67;119,99;65,12;
14130;CAIXA TERMICA 34LT MOR PRETA;72,67;119,99;65,12;
15351;CAIXA TERMICA 34LT MOR VERM. PRETO;72,67;119,99;65,12;
7372;CAIXA TERMICA 34LT MOR VERMELHA;75;119,99;59,99;
6543;CAIXA TRANSP. MD ALVORADA C57.L36.A40;45,53;73;0;
6739;CAIXA TRANSP. N1 AZUL BRANCO FURACAO;32,99;53;0;
6740;CAIXA TRANSP. N1 ROSA BRANCO FURACAO;32,99;53;0;
17290;CAIXA TRANSPORTE N1 AZUL FOUR PLASTIC;29,72;47,99;61,47;
6008;CAIXA TRANSPORTE N1 AZUL PET TRAVEL;21,99;40;0;
1478;CAIXA TRANSPORTE N1 CLECKNEW;40;64;0;
2766;CAIXA TRANSPORTE N1 CLONADI;35,33;53;0;
16529;CAIXA TRANSPORTE N1 DURAPETS AMARELA;21,82;34,99;60,36;
16528;CAIXA TRANSPORTE N1 DURAPETS AZUL;21,82;34,99;60,36;
16527;CAIXA TRANSPORTE N1 DURAPETS LILAS;21,82;34,99;60,36;
11862;CAIXA TRANSPORTE N1 JEL PLAST;34,99;58;65,76;
14679;CAIXA TRANSPORTE N1 JEL PLAST AMARELO;17,5;39,99;128,51;
13769;CAIXA TRANSPORTE N1 PANTHER AZUL;36,99;59;59,5;
15935;CAIXA TRANSPORTE N1 PANTHER AZUL;26,39;42,99;62,9;
11140;CAIXA TRANSPORTE N1 PANTHER AZUL;37,39;60;60,47;
13451;CAIXA TRANSPORTE N1 PANTHER CINZA;37,59;58,5;55,63;
11230;CAIXA TRANSPORTE N1 PANTHER LILAS;37,39;60;60,47;
11231;CAIXA TRANSPORTE N1 PANTHER PRETO;37,39;60;60,47;
15936;CAIXA TRANSPORTE N1 PANTHER PRETO;26,39;42,99;62,9;
15542;CAIXA TRANSPORTE N1 PANTHER ROSA;36,99;59;59,5;
15934;CAIXA TRANSPORTE N1 PANTHER ROSA;26,39;42,99;62,9;
11141;CAIXA TRANSPORTE N1 PANTHER ROSA;37,39;60;60,47;
11137;CAIXA TRANSPORTE N1 PANTHER VERM;37,39;60;60,47;
15937;CAIXA TRANSPORTE N1 PANTHER VERM.;26,39;42,99;62,9;
13463;CAIXA TRANSPORTE N1 PANTHER VERM.;37,59;58,5;55,63;
10890;CAIXA TRANSPORTE N1 PETGROW  LILAS;15,99;26;62,6;
10889;CAIXA TRANSPORTE N1 PETGROW ROSA;15,99;26;62,6;
9131;CAIXA TRANSPORTE N1 PHANTHER AZUL C/BEBE;20,99;36;71,51;
9132;CAIXA TRANSPORTE N1 PHANTHER ROSA C/BEBE;20,99;36;71,51;
9133;CAIXA TRANSPORTE N1 PHANTHER VERM C/BEBE;20,99;36;71,51;
10985;CAIXA TRANSPORTE N1 PODYUM AMARELO;22,4;39,99;78,53;
12974;CAIXA TRANSPORTE N1 PODYUM AZUL;17,5;29,99;71,37;
11290;CAIXA TRANSPORTE N1 PODYUM LILAS;22,4;39,99;78,53;
14533;CAIXA TRANSPORTE N1 PODYUM PRETO;18,64;39,9;114,06;
12975;CAIXA TRANSPORTE N1 PODYUM ROSA;17,5;29,99;71,37;
11291;CAIXA TRANSPORTE N1 PODYUM VERDE;22,4;39,99;78,53;
10984;CAIXA TRANSPORTE N1 PODYUM VERMELHO;17,5;29,99;71,37;
17289;CAIXA TRANSPORTE N1 ROSA FOUR PLASTIC;29,72;47,99;61,47;
6010;CAIXA TRANSPORTE N1 ROSA PET TRAVEL;21,99;40;0;
7864;CAIXA TRANSPORTE N1 VENTURA;16,99;29;0;
17291;CAIXA TRANSPORTE N1 VERM. FOUR PLASTIC;29,72;47,99;61,47;
6007;CAIXA TRANSPORTE N1 VERMELHA PET TRAVEL;21,99;40;0;
15018;CAIXA TRANSPORTE N2 BLACK AZUL CHRISTINO;17,99;29,99;66,7;
15020;CAIXA TRANSPORTE N2 BLACK ROSA CHRISTINO;17,99;29,99;66,7;
15019;CAIXA TRANSPORTE N2 BLACK VERMELHO CHRISTINO;17,99;29,99;66,7;
1479;CAIXA TRANSPORTE N2 CLECKNEW;149,9;240;60,11;
16803;CAIXA TRANSPORTE N2 DURAPETS AZUL;29,69;47,5;59,99;
13450;CAIXA TRANSPORTE N2 FALCON NEON FUN AMARELO;55,49;88,9;60,21;
6854;CAIXA TRANSPORTE N2 PANTHER AZUL;45,29;72,5;60,08;
16693;CAIXA TRANSPORTE N2 PANTHER GOLD ROSA;45,92;73,5;60,06;
13767;CAIXA TRANSPORTE N2 PANTHER GOLDEN;51,99;84;61,57;
11135;CAIXA TRANSPORTE N2 PANTHER ROSA;55,49;89,9;62,01;
6855;CAIXA TRANSPORTE N2 PANTHER ROSA;55,49;89,9;62,01;
11139;CAIXA TRANSPORTE N2 PANTHER VERM;55,49;89,9;62,01;
13452;CAIXA TRANSPORTE N2 PANTHER VERM;55,49;89,9;62,01;
4228;CAIXA TRANSPORTE N2 PLAST PET;69,93;112;0;
15577;CAIXA TRANSPORTE N2 PLATINUM PORTA BLACK CHRISTINO;17,99;29,99;66,7;
11292;CAIXA TRANSPORTE N2 PODYUM AMARELO;22,99;39;69,64;
15404;CAIXA TRANSPORTE N2 PODYUM AZUL;28,9;48,9;69,2;
13448;CAIXA TRANSPORTE N2 PODYUM AZUL;32,08;52,9;64,9;
6009;CAIXA TRANSPORTE N2 PODYUM LILAS;22,99;39;69,64;
14470;CAIXA TRANSPORTE N2 PODYUM PRETA;33,49;55;64,23;
13446;CAIXA TRANSPORTE N2 PODYUM ROSA;33,49;55;64,23;
10986;CAIXA TRANSPORTE N2 PODYUM VERDE;22,99;39;69,64;
15405;CAIXA TRANSPORTE N2 PODYUM VERMELHA;28,9;48,9;69,2;
13447;CAIXA TRANSPORTE N2 PODYUM VERMELHO;32,08;52,9;64,9;
6348;CAIXA TRANSPORTE N3 CLECKNEW;260;416;60;
16804;CAIXA TRANSPORTE N3 DURAPETS AZUL;44,59;71,5;60,35;
14669;CAIXA TRANSPORTE N3 JEL PLAST AZUL;89,99;144,9;61,02;
14670;CAIXA TRANSPORTE N3 JEL PLAST PRETA;89,99;144,9;61,02;
14667;CAIXA TRANSPORTE N3 JEL PLAST ROSA;89,99;144,9;61,02;
14668;CAIXA TRANSPORTE N3 JEL PLAST VERMELHA;89,99;144,9;61,02;
13456;CAIXA TRANSPORTE N3 PANTHER AZUL;89,99;144;60,02;
10037;CAIXA TRANSPORTE N3 PANTHER AZUL;88,7;142;60,09;
11138;CAIXA TRANSPORTE N3 PANTHER AZUL;88,7;142;60,09;
16695;CAIXA TRANSPORTE N3 PANTHER GOLD AZUL;70,18;112,5;60,3;
16694;CAIXA TRANSPORTE N3 PANTHER GOLD ROSA;70,18;112,5;60,3;
16696;CAIXA TRANSPORTE N3 PANTHER GOLD VERM.;70,18;112,5;60,3;
10036;CAIXA TRANSPORTE N3 PANTHER PRETA;88,7;142;60,09;
11136;CAIXA TRANSPORTE N3 PANTHER ROSA;88,7;142;60,09;
13453;CAIXA TRANSPORTE N3 PANTHER ROSA;88,7;142;60,09;
13454;CAIXA TRANSPORTE N3 PANTHER VERM.;88,7;142;60,09;
8892;CAIXA TRANSPORTE N3 PANTHER VERM.;88,7;142;60,09;
6158;CAIXA TRANSPORTE N3 PET TRAVEL MEC;39,99;65;0;
10493;CAIXA TRANSPORTE N3 PODYUM AZUL;39,99;65;62,54;
10988;CAIXA TRANSPORTE N3 PODYUM AZUL;51,35;82,9;61,44;
10987;CAIXA TRANSPORTE N3 PODYUM ROSA;52,99;86,9;63,99;
11293;CAIXA TRANSPORTE N3 PODYUM VERDE;39,99;65;62,54;
10492;CAIXA TRANSPORTE N3 PODYUM VERMELHO;51,35;82,5;60,66;
3064;CAIXA TRANSPORTE N3 SNOWPET VERMELHA;89,99;144;0;
8074;CAIXA TRANSPORTE N4 CLECKNEW;480;750;56,25;
14673;CAIXA TRANSPORTE N4 JEL PLAST AZUL;155,99;249,9;60,2;
14671;CAIXA TRANSPORTE N4 JEL PLAST ROSA;155,99;249,9;60,2;
14672;CAIXA TRANSPORTE N4 JEL PLAST VERMELHA;155,99;249,9;60,2;
13770;CAIXA TRANSPORTE N4 PANTHER AZUL;122,99;199;61,8;
13455;CAIXA TRANSPORTE N4 PANTHER AZUL;123,9;199;60,61;
10039;CAIXA TRANSPORTE N4 PANTHER AZUL;123,99;199;60,5;
13768;CAIXA TRANSPORTE N4 PANTHER GOLDEN;122,99;198;60,99;
10038;CAIXA TRANSPORTE N4 PANTHER ROSA;123,99;199;60,5;
9134;CAIXA TRANSPORTE N4 PANTHER VERM.;123,99;199;60,5;
14359;CAIXA TRANSPORTE N4 PANTHER VERM.BEGE;125,99;202;60,33;
5878;CAIXA TRANSPORTE N4 PLASTICAO C/RODAS;0;0;0;
14601;CAIXA TRANSPORTE N4 PODYUM AZUL;58,9;96,9;64,52;
15403;CAIXA TRANSPORTE N4 PODYUM ROSA;58,9;94,99;61,27;
14877;CAIXA TRANSPORTE N4 PODYUM VERMELHO;58,9;95,9;62,82;
11698;CAIXA TRANSPORTE N5 CLECKNEW C/RODAS;379,9;950;150,07;
73;CAIXA TRANSPORTE PQ N1 DOG LAR;29,9;45;0;
4882;CAIXA TRANSPORTE TRAVEL PET POP N03 AZUL;69,9;105;0;
2482;CAIXA TRANSPORTE ZOOPLAST N01;24,99;45;0;
3339;CAIXA TRANSPORTE ZOOPLAST N01 AZUL;30,44;48,7;0;
4293;CAIXA TRANSPORTE ZOOPLAST N02;49,9;79,9;0;
4294;CAIXA TRANSPORTE ZOOPLAST N03;67,9;109;0;
15721;CAIXINHA DE LUZ AMAR. 4X2 BRASCOM;0,59;1,2;103,39;
14878;CAIXINHA DE LUZ AMAR.FORTLEV 4X2;1,62;2,6;60,49;
14257;CAIXINHA DE LUZ AMAR.FORTLEV 4X4;3,04;4,9;61,18;
14258;CAIXINHA DE LUZ AMAR.TRAMONTINA 4X2;1,09;1,8;65,14;
16481;CAIXINHA DE LUZ AMAR.TRAMONTINA 4X2;1,09;1,75;60,55;
17073;CALCA JEANS MASCULINA;63,5;99,99;57,46;
6604;CALCARIO DOLOMITICO 25KG;19;25,9;36,32;
12287;CALCARIO MINERCAL AGRICOLA;0,38;1;163,16;
3013;CALCARIO MINERCAL AGRICOLA 40KG;17;26;52,94;
3820;CALCARIO MINERCAL AGRICOLA KG;0,76;1,5;97,37;
1867;CALCIFOS 200ML;9,81;15,7;60,04;
2751;CALCIO BLOCO 150GR;3,2;4,5;0;
1659;CALCIO BLOCO BANANA;0,9;1,5;66,67;
1660;CALCIO BLOCO BANANA MALHA LARGA;0,54;1;0;
4434;CALCIO BLOCO ERVA DOCE MALHA FINA;0,531;1;0;
5764;CALCIO BLOCO GOIABA;1,1;1,99;80,91;
5765;CALCIO BLOCO LARANJA;1,1;1,99;80,91;
1661;CALCIO BLOCO MACA;1,1;1,99;80,91;
4433;CALCIO BLOCO MACA MALHA FINA;0,793;1,5;0;
2515;CALCIO BLOCO MALHA LARGA;0,693;1,2;0;
1231;CALCIO BLOCO NATURAL;1;1,75;75;
2155;CALCIO BLOCO PIMENTA;0,9;1,5;66,67;
7289;CALCIO FOR 150COMP.;17,87;29;0;
11813;CALCIO GLICOSADO 200ML;11,72;18,75;59,98;
9812;CALCIO REFORCADO 200ML VANSIL;10,76;17,5;62,64;
3168;CALCIORAL B12 100ML;4,88;8;0;
5697;CALCIOTRAT 100ML;9,62;15,4;0;
10874;CALDA BORDALESA 100ML;7,6;12,2;60,53;
16697;CALDA BORDALESA 20GR;6,5;10,99;69,08;
4370;CALFON 200ML;23,73;29;0;
11164;CALFOZ 200ML;9,34;14,99;60,49;
7658;CALMIN CAT 30ML ORGANNACT;30,98;46,5;50,1;
14418;CALMIN CAT SNACKS 40GR ORGANNACT;11,9;17,99;51,18;
15264;CALMIN DOG 15GR 30 COMP. ORGANNACT;56,43;90,3;60,02;
6900;CALMIN DOG 40ML ORGANNACT;36,41;55;51,06;
14419;CALMIN DOG STICKS 160GR ORGANNACT;31,37;46,99;49,79;
14432;CALMIN DOG STICKS 450GR ORGANNACT;49,07;78,99;60,97;
10141;CALMINEX 100GR;30,44;47,99;57,65;
91;CALMINEX 100GR;13,18;21,1;0;
431;CALMINEX 30GR;9,37;15;0;
11484;CALMINEX 30GR;14,39;23;59,83;
2771;CALMINEX CREME 100GR;14,44;23;0;
7830;CALOFIX 60GR;15,08;25;0;
314;CALOPSITA GOLD MIX 500GR;7,32;11,25;53,69;
2708;CALPIK 100ML PIKAPAU;3,46;5,2;0;
500;CALVITE 100ML;6,73;10,8;0;
9329;CAMA 3 EM 1 GD PRO-CANINE;60;99;0;
9328;CAMA 3 EM 1 MD PRO-CANINE;45;75;0;
9327;CAMA 3 EM 1 PQ PRO-CANINE;35;56;0;
75;CAMA BOMBOM MD;39,2;58,8;0;
6526;CAMA CARAMELO CARA DE CACHORRO;52,9;85;0;
6011;CAMA CHINELO AZUL CROC SONINHO;62,99;102;0;
6012;CAMA CHINELO ROSA CROC SONINHO;62,99;102;0;
6754;CAMA EUROPA NYLON GD AZUL;44,83;71,75;60,05;
6471;CAMA EUROPA NYLON GD ROSA;44,83;71,75;60,05;
6389;CAMA EUROPA NYLON GD VERMELHA;44,83;71,75;60,05;
6957;CAMA EUROPA NYLON GG AZUL;51;81,6;60;
6470;CAMA EUROPA NYLON GG ROSA;51;81,6;60;
6388;CAMA EUROPA NYLON GG VERMELHA;51;81,6;60;
6756;CAMA EUROPA NYLON MD AZUL;37,16;59,99;61,44;
6390;CAMA EUROPA NYLON MD ROSA;37,16;59,99;61,44;
6755;CAMA EUROPA NYLON MD VERMELHA;37,16;59,99;61,44;
6631;CAMA EUROPA NYLON PQ AZUL;28,6;46;60,84;
6473;CAMA EUROPA NYLON PQ ROSA;28,6;46;60,84;
6700;CAMA EUROPA NYLON PQ VERMELHA;28,6;46;60,84;
2844;CAMA EUROPA TECIDO GD AZUL;47,38;75,99;60,38;
2740;CAMA EUROPA TECIDO GD ROSA;47,38;75,99;60,38;
68;CAMA EUROPA TECIDO GD VERMELHO;47,38;75,99;60,38;
2493;CAMA EUROPA TECIDO GG AZUL;56,83;91,8;61,53;
2576;CAMA EUROPA TECIDO GG ROSA;61,93;99,99;61,46;
948;CAMA EUROPA TECIDO GG VERMELHO;61,93;99,99;61,46;
2182;CAMA EUROPA TECIDO MD AZUL;37,16;59,99;61,44;
2184;CAMA EUROPA TECIDO MD ROSA;37,16;59,99;61,44;
1267;CAMA EUROPA TECIDO MD VERMELHO;34,91;55,99;60,38;
16814;CAMA EUROPA TECIDO MD VERMELHO;37,16;59,9;61,19;
8603;CAMA EUROPA TECIDO PATINHAS GD;47,38;75,99;60,38;
8715;CAMA EUROPA TECIDO PATINHAS GG;56,83;95,6;68,22;
8602;CAMA EUROPA TECIDO PATINHAS MD;37,16;59,99;61,44;
9120;CAMA EUROPA TECIDO PATINHAS PQ;29,74;48,99;64,73;
2491;CAMA EUROPA TECIDO PP AZUL;12;19,2;60;
2183;CAMA EUROPA TECIDO PP ROSA;12;19,2;60;
66;CAMA EUROPA TECIDO PP VERMELHO;12;19,2;60;
2492;CAMA EUROPA TECIDO PQ AZUL;29,74;47,99;61,37;
2185;CAMA EUROPA TECIDO PQ ROSA;29,74;47,99;61,37;
67;CAMA EUROPA TECIDO PQ VERMELHO;29,74;47,99;61,37;
4083;CAMA EUROPA ZIPER MIMI N4;61,53;99;60,9;
76;CAMA EUROPA ZIPER MIMI N5;72,07;116;60,95;
2669;CAMA EUROPA ZIPER MIMI N6;84,63;136;60,7;
10617;CAMA GATO PAPELAO MEIA LUA;30;48;60;
15451;CAMA IGLOO 01 AZUL;37,11;59,99;61,65;
15075;CAMA IGLOO 01 ROSA;37,11;59,99;61,65;
16169;CAMA IGLOO 01 VERMELHO;37,11;59,99;61,65;
16583;CAMA IGLOO 02 PATINHA;51,76;82,99;60,34;
16584;CAMA IGLOO 03 PATINHA;61,16;98,99;61,85;
16585;CAMA IGLOO 04 PATINHA;83,9;135,99;62,09;
71;CAMA IGLOO GD;71,82;115;60,12;
2180;CAMA IGLOO GD AZUL;62,66;101;61,19;
2582;CAMA IGLOO GD ROSA;62,66;101;61,19;
12720;CAMA IGLOO GD VERM;96,62;155;60,42;
2583;CAMA IGLOO GG AZUL;75,39;121;60,5;
2584;CAMA IGLOO GG ROSA;71,8;115,4;0;
2845;CAMA IGLOO MD AZUL;49,43;79,2;60,23;
3470;CAMA IGLOO MD C/ZIPPER;24;38,4;0;
2581;CAMA IGLOO MD ROSA;49,43;79,2;60,23;
70;CAMA IGLOO MD VERMELHA;51,42;83;61,42;
16582;CAMA IGLOO N1 PATINHA;34,69;55,99;61,4;
14789;CAMA IGLOO N2 AZUL;51,76;83,99;62,27;
14788;CAMA IGLOO N2 ROSA;48,38;77,5;60,19;
16113;CAMA IGLOO N2 VERMELHA;51,76;82,99;60,34;
6592;CAMA IGLOO N3 AZUL;61,16;98,9;61,71;
6593;CAMA IGLOO N3 ROSA;61,16;99,99;63,49;
16114;CAMA IGLOO N3 VERMELHA;61,16;97,99;60,22;
6594;CAMA IGLOO N4 AZUL;87,26;139,99;60,43;
15580;CAMA IGLOO N4 ROSA;83,9;134,9;60,79;
16115;CAMA IGLOO N4 VERMELHA;83,9;134,9;60,79;
2579;CAMA IGLOO PQ AZUL;37,78;61;61,46;
2580;CAMA IGLOO PQ ROSA;36,32;58,3;60,52;
12466;CAMA IGLOO PQ VERM.;37,78;61;61,46;
5559;CAMA NYLON GD AZUL;26,04;42;0;
5712;CAMA NYLON GD ROSA;26,04;42;0;
6276;CAMA NYLON GD VERMELHA;26,04;42;0;
5713;CAMA NYLON GG AZUL;32,12;52;0;
5714;CAMA NYLON GG ROSA;32,12;52;0;
6087;CAMA NYLON GG VERM.;32,12;52;0;
5715;CAMA NYLON MD AZUL;20,33;33;0;
5716;CAMA NYLON MD ROSA;20,33;33;0;
5560;CAMA NYLON MD VERM.;20,33;33;0;
5561;CAMA NYLON PQ AZUL;14,6;24;0;
5717;CAMA NYLON PQ ROSA;14,6;24;0;
10496;CAMA PELUCIA BEGE GR PET;62,86;101;60,67;
10497;CAMA PELUCIA ONCA GR PET;62,86;101;60,67;
8604;CAMA PET ESTAMPA M MARROM;59,88;96;0;
8605;CAMA PET ESTAMPA M ROSA;59,88;96;0;
15653;CAMA PETS 60X80CM;29,99;49,99;66,69;
15652;CAMA PETS 70X90CM;29,99;59,99;100,03;
8454;CAMA QUADRADA LACO MD PATINHAS;54,67;88;0;
3376;CAMA QUADRADA MIMI GD;65,44;105;0;
2585;CAMA QUADRADA MIMI MD;48,96;78,4;0;
8338;CAMA REDONDA LUXO MD AZUL;61,98;99,9;0;
7925;CAMA REDONDA LUXO MD ROSA;61,98;99,9;0;
15905;CAMA RETANGULAR GD;129;193,5;50;
15904;CAMA RETANGULAR MD;117;175,5;50;
15903;CAMA RETANGULAR PQ;96;144;50;
11073;CAMA SOFT JEANS GD;95,02;152,99;61,01;
11428;CAMA SOFT JEANS GG;117,69;189,9;61,36;
11074;CAMA SOFT JEANS MD;74,57;119,99;60,91;
11429;CAMA SOFT JEANS PQ;48,76;79;62,02;
6958;CAMA SOFT LUXO N03;64,07;97;0;
6959;CAMA SOFT LUXO N04;78,86;120;0;
7032;CAMA SOFT LUXO N05;95,29;155;0;
5562;CAMA SOFT N02;42,86;69;60,99;
5563;CAMA SOFT N03;70,65;114;61,36;
5237;CAMA SOFT N04;92,46;148,5;60,61;
16409;CAMA SOFT N04;96,98;155,5;60,34;
5394;CAMA SOFT N05;123,29;199,99;62,21;
10212;CAMA SOFT N06;190,94;305,5;60;
11075;CAMA SOFT PATINHA GD AZUL;78,26;126;61;
16577;CAMA SOFT PATINHA GD MARROM;86,05;138,99;61,52;
11076;CAMA SOFT PATINHA GD ROSA;78,26;126;61;
12384;CAMA SOFT PATINHA GG ROSA;106,46;171;60,62;
11077;CAMA SOFT PATINHA MD MARROM;70,21;113,99;62,36;
11078;CAMA SOFT PATINHA MD ROSA;70,21;113,99;62,36;
16576;CAMA SOFT PATINHA PQ ROSA;54,17;86,99;60,59;
13734;CAMARA DE AR P/CARRINHO DE MAO COLSON;11,19;17,9;59,96;
16871;CAMARA DE AR P/CARRINHO DE MAO FAMASTIL;12,12;19,99;64,93;
12927;CAMARA DE AR P/CARRINHO DE MAO FCOLSON;17,39;26,5;52,39;
16055;CAMARA DE AR P/CARRINHO DE MAO FERTAK;14,2;21,3;50;
11727;CAMARA DE AR P/CARRINHO DE MAO FUZIL;10,63;17;59,92;
5792;CAMARA DE AR P/CARRINHO DE MAO LEVORIN;22,74;34;49,52;
7108;CAMARA DE AR P/CARRIOLA LEVORIN;15,62;23,5;0;
11700;CAMARAO 120GR BIOTRON;22;49;122,73;
11699;CAMARAO 15GR BIOTRON;11,18;17,9;60,11;
15299;CAMARAO NATURAL 40GR;8,16;12,99;59,19;
11984;CAMINHA AMARRACAO XADREZ VERM. CPET 07C;101,27;142;40,22;
11985;CAMINHA AMARRACAO XADREZ VERM. MD CPET 07B;77,87;109,9;41,13;
11990;CAMINHA CAPITAO E GD CPET 25C;120,56;169;40,18;
11989;CAMINHA CAPITAO E MD CPET 2001M;96,76;135,9;40,45;
11992;CAMINHA CHIHUAHUA CPET 29;82,4;117;41,99;
11991;CAMINHA GATO CPET 29;83,4;117;40,29;
11995;CAMINHA JOANINHA GD CPET 36 C;116,8;162;38,7;
11996;CAMINHA JOANINHA MD CPET 36 B;92,8;129,9;39,98;
12000;CAMINHA PRINCESA GD CPET 21 C;147,07;199,99;35,98;
12002;CAMINHA PRINCESA GD CPET 32 C;144,4;199,99;38,5;
11993;CAMINHA PRINCESA GD CPET 33 C;145,6;199,9;37,29;
11999;CAMINHA PRINCESA MD CPET 21 B;117,43;162;37,95;
12001;CAMINHA PRINCESA MD CPET 32 B;115,05;159,9;38,98;
11994;CAMINHA PRINCESA MD CPET 33 B;116,1;159,9;37,73;
11988;CAMINHA RAIO SOMB MD CPET 26B;94,75;129,9;37,1;
11997;CAMINHA RATINHA L GD CPET 20 C;133,81;188;40,5;
11998;CAMINHA RATINHA L MD CPET 20 B;104,83;147;40,23;
11987;CAMINHA SUPER STA GD CPET 35C;137,5;179,9;30,84;
11986;CAMINHA SUPER STA MD CPET 35B;109;152,6;40;
3186;CAMISA P/LAMPIAO COLEMAN;5,29;7,95;0;
749;CAMISA P/LAMPIAO WESTERN 500 A 600 VELAS;0,817;2;0;
9379;CAMISETA CAMUFL.GD MANGA LONGA;23;36,8;0;
9378;CAMISETA CAMUFL.GG MANGA LONGA;23;36,8;0;
9380;CAMISETA CAMUFL.MD MANGA LONGA;23;36,8;0;
9375;CAMISETA CAMUFLADA GD MANGA CURTA;19;31;0;
9377;CAMISETA CAMUFLADA GG MANGA CURTA;19;31;0;
9376;CAMISETA CAMUFLADA MD MANGA CURTA;19;31;0;
4409;CAMISETA CAPUZ GD SNOB DOG;16;27;0;
4410;CAMISETA CAPUZ GG SNOB DOG;16;29;0;
4408;CAMISETA CAPUZ MD SNOB DOG;16;25;0;
4406;CAMISETA CAPUZ PP SNOB DOG;16;21;0;
4407;CAMISETA CAPUZ PQ SNOB DOG;16;23;0;
8590;CAMISETA COPA N01;8,9;14,5;0;
8591;CAMISETA COPA N02;9,83;15,8;0;
8592;CAMISETA COPA N03;10,5;16,8;0;
8593;CAMISETA COPA N04;11,66;19;0;
2339;CAMISETA DE LA G;8,4;14,5;0;
8594;CAMISETA DE LA G LISTRADA;8,7;17,6;102,3;
2341;CAMISETA DE LA M;8,4;14;0;
8595;CAMISETA DE LA M LISTRADA;8,7;16,5;89,66;
2340;CAMISETA DE LA P;8,4;13,5;0;
8596;CAMISETA DE LA P LISTRADA;8,7;15,4;77,01;
15592;CAMISETA DRY FIT UV;39,99;64;60,04;
4398;CAMISETA GD SNOB DOG;15;26;0;
4399;CAMISETA GG SNOB DOG;15;28;0;
4413;CAMISETA MANGA GD SNOB DOG;20;35;0;
4414;CAMISETA MANGA GG SNOB DOG;20;36;0;
4412;CAMISETA MANGA MD SNOB DOG;20;34;0;
6803;CAMISETA MANGA PP SNOB DOG;20;32;0;
4411;CAMISETA MANGA PQ SNOB DOG;20;33;0;
10305;CAMISETA MAR NEGRO MASC.PEIXES COM CLEAN 1 G1;66,5;99,8;50,08;
10306;CAMISETA MAR NEGRO MASC.PEIXES COM CLEAN 1 MD;59,6;89,5;50,17;
10304;CAMISETA MAR NEGRO MASC.PEIXES COM CLEAN 3 GD;59,6;89,5;50,17;
10307;CAMISETA MAR NEGRO MASC.PEIXES COM CLEAN 3 MD;59,6;89,5;50,17;
10308;CAMISETA MAR NEGRO MASC.PEIXES COM.TAMBAQUI GG;59,6;89,5;50,17;
10309;CAMISETA MAR NEGRO MASC.PEIXES COM.TUCUNARE GG;59,6;89,5;50,17;
4397;CAMISETA MD SNOB DOG;15;24;0;
15435;CAMISETA P PESCA G CHUMBO RAMATEX UV 50;66,86;109,99;64,51;
15436;CAMISETA P PESCA GG CHUMBO RAMATEX UV 50;66,86;109,99;64,51;
15434;CAMISETA P PESCA XGG CHUMBO RAMATEX UV 50;66,86;109,99;64,51;
12690;CAMISETA P/PESCA  C/ZIPER PQ/MD/GD;46,8;74,99;60,24;
14729;CAMISETA P/PESCA 1X ZIPER FPS 30 BY AVENTURA AZUL MARINHO;51,5;82,4;60;
14730;CAMISETA P/PESCA 2X ZIPER FPS 30 BY AVENTURA AZUL MARINHO;63,84;102,9;61,18;
14733;CAMISETA P/PESCA 3X ZIPER FPS 30 BY AVENTURA AZUL MARINHO;63,84;102,9;61,18;
8571;CAMISETA P/PESCA G DOURADO DE RIO AMAREL;44,8;75;0;
8577;CAMISETA P/PESCA G TAMBA AZUL;44,8;75;0;
9722;CAMISETA P/PESCA G TILAPIA C/ZIPER;48;76,8;60;
8574;CAMISETA P/PESCA G TUCUNARE AZUL;48;76,8;60;
14731;CAMISETA P/PESCA GD ZIPER FPS 30 BY AVENTURA AZUL MARINHO;57,6;92,9;61,28;
8572;CAMISETA P/PESCA GG DOURADO DE RIO AMARE;44,8;75;0;
8576;CAMISETA P/PESCA GG TAMBA AZUL;44,8;75;0;
9723;CAMISETA P/PESCA GG TAMBA C/ZIPER;48;76,8;60;
8573;CAMISETA P/PESCA GG TUCUNARE AZUL;48;76,8;60;
14732;CAMISETA P/PESCA GG ZIPER FPS 30 BY AVENTURA AZUL MARINHO;57,6;92,9;61,28;
8570;CAMISETA P/PESCA M DOURADO DE RIO AMAREL;44,8;75;0;
8578;CAMISETA P/PESCA M TAMBA AZUL;44,8;75;0;
8575;CAMISETA P/PESCA M TUCUNARE AZUL;44,8;75;0;
